#-----------------------------------------------------------
# xsim v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:34:34 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Mon Oct  6 04:40:00 2025
# Process ID         : 163819
# Current directory  : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1
# Command line       : xsim -mode tcl -source {xsim.dir/work.fifo_tb/xsim_script.tcl}
# Log file           : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/xsim.log
# Journal file       : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/xsim.jou
# Running On         : arthur-nathaniel
# Platform           : Ubuntu
# Operating System   : Ubuntu 24.04.3 LTS
# Processor Detail   : 13th Gen Intel(R) Core(TM) i3-1315U
# CPU Frequency      : 1508.207 MHz
# CPU Physical cores : 6
# CPU Logical cores  : 8
# Host memory        : 8038 MB
# Swap memory        : 4294 MB
# Total Virtual      : 12333 MB
# Available Virtual  : 5141 MB
#-----------------------------------------------------------
source xsim.dir/work.fifo_tb/xsim_script.tcl
# xsim {work.fifo_tb} -autoloadwcfg -runall
Time resolution is 1 ps
open_wave_config /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/work.fifo_tb.wcfg
run -all
[0]   wr_en = 0, rd_en = 0, data_in =   x, data_out =   x, full = x, empty = x
[280000]   wr_en = 1, rd_en = 1, data_in =  48, data_out =  46, full = 0, empty = 0
[285000]   wr_en = 1, rd_en = 1, data_in =  48, data_out =  47, full = 0, empty = 0
[290000]   wr_en = 1, rd_en = 1, data_in =  49, data_out =  47, full = 0, empty = 0
[295000]   wr_en = 1, rd_en = 1, data_in =  49, data_out =  48, full = 0, empty = 0
[300000]   wr_en = 1, rd_en = 1, data_in =  50, data_out =  48, full = 0, empty = 0
[305000]   wr_en = 1, rd_en = 1, data_in =  50, data_out =  49, full = 0, empty = 0
[310000]   wr_en = 1, rd_en = 1, data_in =  51, data_out =  49, full = 0, empty = 0
[315000]   wr_en = 1, rd_en = 1, data_in =  51, data_out =  50, full = 0, empty = 0
[320000]   wr_en = 1, rd_en = 1, data_in =  52, data_out =  50, full = 0, empty = 0
[325000]   wr_en = 1, rd_en = 1, data_in =  52, data_out =  51, full = 0, empty = 0
[330000]   wr_en = 1, rd_en = 1, data_in =  53, data_out =  51, full = 0, empty = 0
[335000]   wr_en = 1, rd_en = 1, data_in =  53, data_out =  52, full = 0, empty = 0
[340000]   wr_en = 1, rd_en = 1, data_in =  54, data_out =  52, full = 0, empty = 0
[345000]   wr_en = 1, rd_en = 1, data_in =  54, data_out =  53, full = 0, empty = 0
[350000]   wr_en = 1, rd_en = 1, data_in =  55, data_out =  53, full = 0, empty = 0
[355000]   wr_en = 1, rd_en = 1, data_in =  55, data_out =  54, full = 0, empty = 0
[360000]   wr_en = 1, rd_en = 1, data_in =  56, data_out =  54, full = 0, empty = 0
[365000]   wr_en = 1, rd_en = 1, data_in =  56, data_out =  55, full = 0, empty = 0
[370000]   wr_en = 1, rd_en = 1, data_in =  57, data_out =  55, full = 0, empty = 0
[375000]   wr_en = 1, rd_en = 1, data_in =  57, data_out =  56, full = 0, empty = 0
[380000]   wr_en = 1, rd_en = 1, data_in =  58, data_out =  56, full = 0, empty = 0
[385000]   wr_en = 1, rd_en = 1, data_in =  58, data_out =  57, full = 0, empty = 0
[390000]   wr_en = 1, rd_en = 1, data_in =  59, data_out =  57, full = 0, empty = 0
[395000]   wr_en = 1, rd_en = 1, data_in =  59, data_out =  58, full = 0, empty = 0
[400000]   wr_en = 1, rd_en = 1, data_in =  60, data_out =  58, full = 0, empty = 0
[405000]   wr_en = 1, rd_en = 1, data_in =  60, data_out =  59, full = 0, empty = 0
[410000]   wr_en = 1, rd_en = 1, data_in =  61, data_out =  59, full = 0, empty = 0
[415000]   wr_en = 1, rd_en = 1, data_in =  61, data_out =  60, full = 0, empty = 0
[420000]   wr_en = 1, rd_en = 1, data_in =  62, data_out =  60, full = 0, empty = 0
[425000]   wr_en = 1, rd_en = 1, data_in =  62, data_out =  61, full = 0, empty = 0
[430000]   wr_en = 1, rd_en = 1, data_in =  63, data_out =  61, full = 0, empty = 0
[435000]   wr_en = 1, rd_en = 1, data_in =  63, data_out =  62, full = 0, empty = 0
[440000]   wr_en = 1, rd_en = 1, data_in =  64, data_out =  62, full = 0, empty = 0
[445000]   wr_en = 1, rd_en = 1, data_in =  64, data_out =  63, full = 0, empty = 0
[450000]   wr_en = 1, rd_en = 1, data_in =  65, data_out =  63, full = 0, empty = 0
[455000]   wr_en = 1, rd_en = 1, data_in =  65, data_out =  64, full = 0, empty = 0
[460000]   wr_en = 1, rd_en = 1, data_in =  66, data_out =  64, full = 0, empty = 0
[465000]   wr_en = 1, rd_en = 1, data_in =  66, data_out =  65, full = 0, empty = 0
[470000]   wr_en = 1, rd_en = 1, data_in =  67, data_out =  65, full = 0, empty = 0
[475000]   wr_en = 1, rd_en = 1, data_in =  67, data_out =  66, full = 0, empty = 0
[480000]   wr_en = 1, rd_en = 1, data_in =  68, data_out =  66, full = 0, empty = 0
[485000]   wr_en = 1, rd_en = 1, data_in =  68, data_out =  67, full = 0, empty = 0
[490000]   wr_en = 1, rd_en = 1, data_in =  69, data_out =  67, full = 0, empty = 0
[495000]   wr_en = 1, rd_en = 1, data_in =  69, data_out =  68, full = 0, empty = 0
[500000]   wr_en = 1, rd_en = 1, data_in =  70, data_out =  68, full = 0, empty = 0
[505000]   wr_en = 1, rd_en = 1, data_in =  70, data_out =  69, full = 0, empty = 0
[510000]   wr_en = 1, rd_en = 1, data_in =  71, data_out =  69, full = 0, empty = 0
[515000]   wr_en = 1, rd_en = 1, data_in =  71, data_out =  70, full = 0, empty = 0
[520000]   wr_en = 1, rd_en = 1, data_in =  72, data_out =  70, full = 0, empty = 0
[525000]   wr_en = 1, rd_en = 1, data_in =  72, data_out =  71, full = 0, empty = 0
[530000]   wr_en = 1, rd_en = 1, data_in =  73, data_out =  71, full = 0, empty = 0
[535000]   wr_en = 1, rd_en = 1, data_in =  73, data_out =  72, full = 0, empty = 0
[540000]   wr_en = 1, rd_en = 1, data_in =  74, data_out =  72, full = 0, empty = 0
[545000]   wr_en = 1, rd_en = 1, data_in =  74, data_out =  73, full = 0, empty = 0
[550000]   wr_en = 1, rd_en = 1, data_in =  75, data_out =  73, full = 0, empty = 0
[555000]   wr_en = 1, rd_en = 1, data_in =  75, data_out =  74, full = 0, empty = 0
[560000]   wr_en = 1, rd_en = 1, data_in =  76, data_out =  74, full = 0, empty = 0
[565000]   wr_en = 1, rd_en = 1, data_in =  76, data_out =  75, full = 0, empty = 0
[570000]   wr_en = 1, rd_en = 1, data_in =  77, data_out =  75, full = 0, empty = 0
[575000]   wr_en = 1, rd_en = 1, data_in =  77, data_out =  76, full = 0, empty = 0
[580000]   wr_en = 1, rd_en = 1, data_in =  78, data_out =  76, full = 0, empty = 0
[585000]   wr_en = 1, rd_en = 1, data_in =  78, data_out =  77, full = 0, empty = 0
[590000]   wr_en = 1, rd_en = 1, data_in =  79, data_out =  77, full = 0, empty = 0
[595000]   wr_en = 1, rd_en = 1, data_in =  79, data_out =  78, full = 0, empty = 0
[600000]   wr_en = 1, rd_en = 1, data_in =  80, data_out =  78, full = 0, empty = 0
[605000]   wr_en = 1, rd_en = 1, data_in =  80, data_out =  79, full = 0, empty = 0
[610000]   wr_en = 1, rd_en = 1, data_in =  81, data_out =  79, full = 0, empty = 0
[615000]   wr_en = 1, rd_en = 1, data_in =  81, data_out =  80, full = 0, empty = 0
[620000]   wr_en = 1, rd_en = 1, data_in =  82, data_out =  80, full = 0, empty = 0
[625000]   wr_en = 1, rd_en = 1, data_in =  82, data_out =  81, full = 0, empty = 0
[630000]   wr_en = 1, rd_en = 1, data_in =  83, data_out =  81, full = 0, empty = 0
[635000]   wr_en = 1, rd_en = 1, data_in =  83, data_out =  82, full = 0, empty = 0
[640000]   wr_en = 1, rd_en = 1, data_in =  84, data_out =  82, full = 0, empty = 0
[645000]   wr_en = 1, rd_en = 1, data_in =  84, data_out =  83, full = 0, empty = 0
[650000]   wr_en = 1, rd_en = 1, data_in =  85, data_out =  83, full = 0, empty = 0
[655000]   wr_en = 1, rd_en = 1, data_in =  85, data_out =  84, full = 0, empty = 0
[660000]   wr_en = 1, rd_en = 1, data_in =  86, data_out =  84, full = 0, empty = 0
[665000]   wr_en = 1, rd_en = 1, data_in =  86, data_out =  85, full = 0, empty = 0
[670000]   wr_en = 1, rd_en = 1, data_in =  87, data_out =  85, full = 0, empty = 0
[675000]   wr_en = 1, rd_en = 1, data_in =  87, data_out =  86, full = 0, empty = 0
[680000]   wr_en = 1, rd_en = 1, data_in =  88, data_out =  86, full = 0, empty = 0
[685000]   wr_en = 1, rd_en = 1, data_in =  88, data_out =  87, full = 0, empty = 0
[690000]   wr_en = 1, rd_en = 1, data_in =  89, data_out =  87, full = 0, empty = 0
[695000]   wr_en = 1, rd_en = 1, data_in =  89, data_out =  88, full = 0, empty = 0
[700000]   wr_en = 1, rd_en = 1, data_in =  90, data_out =  88, full = 0, empty = 0
[705000]   wr_en = 1, rd_en = 1, data_in =  90, data_out =  89, full = 0, empty = 0
[710000]   wr_en = 1, rd_en = 1, data_in =  91, data_out =  89, full = 0, empty = 0
[715000]   wr_en = 1, rd_en = 1, data_in =  91, data_out =  90, full = 0, empty = 0
[720000]   wr_en = 1, rd_en = 1, data_in =  92, data_out =  90, full = 0, empty = 0
[725000]   wr_en = 1, rd_en = 1, data_in =  92, data_out =  91, full = 0, empty = 0
[730000]   wr_en = 1, rd_en = 1, data_in =  93, data_out =  91, full = 0, empty = 0
[735000]   wr_en = 1, rd_en = 1, data_in =  93, data_out =  92, full = 0, empty = 0
[740000]   wr_en = 1, rd_en = 1, data_in =  94, data_out =  92, full = 0, empty = 0
[745000]   wr_en = 1, rd_en = 1, data_in =  94, data_out =  93, full = 0, empty = 0
[750000]   wr_en = 1, rd_en = 1, data_in =  95, data_out =  93, full = 0, empty = 0
[755000]   wr_en = 1, rd_en = 1, data_in =  95, data_out =  94, full = 0, empty = 0
